Country.Name,Value,Color
Solomon Islands,2250.6011638607,'#4784F1'
Fiji,5102.84392924983,'#C27AA7'
Latin America & Caribbean,7270.70358438419,'#DC0035'
Bahrain,20406.5023256629,'#638B83'
Mongolia,4060.95051770038,'#A51CB1'
Malaysia,10412.3476677499,'#DDD8A4'
"Gambia, The",757.413111611389,'#29ADF9'
Zambia,985.132436038869,'#EF9840'
Oman,14485.3861157973,'#6DB98A'
Uruguay,15418.8153089096,'#2BAF6C'
North Macedonia,5846.46589856854,'#6C456B'
"Yemen, Rep.",631.681490044125,'#1015D9'
Upper middle income,9166.46085400957,'#003F9E'
Czech Republic,22933.4995909236,'#5E4623'
Canada,43258.2638715601,'#8DB634'
Papua New Guinea,2757.01101864579,'#9B1155'
Kazakhstan,9121.63713797145,'#9B75E2'
Poland,15742.4537256368,'#F8F023'
Brazil,6814.87563196772,'#85F9B0'
Israel,44177.5712248445,'#6B01B2'
IDA & IBRD total,4925.38124212598,'#C9693B'
Bulgaria,10079.2033812203,'#C707A2'
El Salvador,3798.63652082321,'#0671B3'
Argentina,8585.69474249794,'#87C1B5'
Nigeria,2097.09247289022,'#60FD9F'
Equatorial Guinea,7198.33588370688,'#D9A2B3'
Ireland,85422.5428682266,'#C9AA66'
Low & middle income,4759.77608177317,'#D14822'
Middle East & North Africa (excluding high income),3190.32509710122,'#20670A'
Liberia,601.063005802862,'#679F5A'
Armenia,4266.01807420946,'#5DF192'
United Kingdom,41098.0786527828,'#9A1CAC'
Lebanon,3801.79274268223,'#4995A3'
Lower middle income,2285.71110749433,'#40531D'
South Asia (IDA & IBRD),1875.44139149022,'#042492'
Bosnia and Herzegovina,6082.36673041923,'#1B9150'
"Congo, Dem. Rep.",543.950392515803,'#411F2B'
Least developed countries: UN classification,1099.20156053236,'#BA319D'
Angola,1631.43169087951,'#7E6C2A'
Niger,567.669892261611,'#3DAEE0'
Qatar,50124.3859361728,'#C8F232'
Other small states,11792.0664241862,'#3917F4'
"Congo, Rep.",1899.77823742106,'#EBC309'
Sub-Saharan Africa (IDA & IBRD countries),1501.77942150021,'#39607B'
Cyprus,27681.56640625,'#6D8AEE'
Late-demographic dividend,9699.0893745314,'#5258BD'
Virgin Islands (U.S.),39552.1685953523,'#30ABC7'
Sao Tome and Principe,2157.84044569668,'#637F5B'
Iraq,4583.7474936713,'#AB8045'
St. Vincent and the Grenadines,7860.82135437107,'#BDF8EC'
